Optimising with Parameters: 
 sparsity: 10.0| reg_C: 1.0| reg_W: 1.0| trad: 1.0
 At iteration0|| Error:array([38977.85], dtype=float32)

Optimise B 

At B iteration 0|| Error:array([38975.375], dtype=float32)

At B iteration 1|| Error:array([38973.086], dtype=float32)

At B iteration 2|| Error:array([38970.86], dtype=float32)

At B iteration 3|| Error:array([38968.645], dtype=float32)

At B iteration 4|| Error:array([38966.45], dtype=float32)

At B iteration 5|| Error:array([38964.26], dtype=float32)

At B iteration 6|| Error:array([38962.086], dtype=float32)

At B iteration 7|| Error:array([38959.918], dtype=float32)

At B iteration 8|| Error:array([38957.76], dtype=float32)

At B iteration 9|| Error:array([38955.613], dtype=float32)

At B iteration 10|| Error:array([38953.477], dtype=float32)

At B iteration 11|| Error:array([38951.35], dtype=float32)

At B iteration 12|| Error:array([38949.24], dtype=float32)

At B iteration 13|| Error:array([38947.13], dtype=float32)

At B iteration 14|| Error:array([38945.04], dtype=float32)

At B iteration 15|| Error:array([38942.95], dtype=float32)

At B iteration 16|| Error:array([38940.875], dtype=float32)

At B iteration 17|| Error:array([38938.81], dtype=float32)

At B iteration 18|| Error:array([38936.75], dtype=float32)

At B iteration 19|| Error:array([38934.707], dtype=float32)

At B iteration 20|| Error:array([38932.67], dtype=float32)

At B iteration 21|| Error:array([38930.645], dtype=float32)

At B iteration 22|| Error:array([38928.63], dtype=float32)

At B iteration 23|| Error:array([38926.62], dtype=float32)

At B iteration 24|| Error:array([38924.625], dtype=float32)

At B iteration 25|| Error:array([38922.637], dtype=float32)

At B iteration 26|| Error:array([38920.66], dtype=float32)

At B iteration 27|| Error:array([38918.688], dtype=float32)

At B iteration 28|| Error:array([38916.727], dtype=float32)

At B iteration 29|| Error:array([38914.773], dtype=float32)

At B iteration 30|| Error:array([38912.836], dtype=float32)

At B iteration 31|| Error:array([38910.902], dtype=float32)

At B iteration 32|| Error:array([38908.98], dtype=float32)

At B iteration 33|| Error:array([38907.066], dtype=float32)

At B iteration 34|| Error:array([38905.16], dtype=float32)

At B iteration 35|| Error:array([38903.26], dtype=float32)

At B iteration 36|| Error:array([38901.375], dtype=float32)

At B iteration 37|| Error:array([38899.496], dtype=float32)

At B iteration 38|| Error:array([38897.63], dtype=float32)

At B iteration 39|| Error:array([38895.77], dtype=float32)

At B iteration 40|| Error:array([38893.914], dtype=float32)

At B iteration 41|| Error:array([38892.07], dtype=float32)

At B iteration 42|| Error:array([38890.24], dtype=float32)

At B iteration 43|| Error:array([38888.414], dtype=float32)

At B iteration 44|| Error:array([38886.598], dtype=float32)

At B iteration 45|| Error:array([38884.79], dtype=float32)

At B iteration 46|| Error:array([38882.984], dtype=float32)

At B iteration 47|| Error:array([38881.19], dtype=float32)

At B iteration 48|| Error:array([38879.41], dtype=float32)

At B iteration 49|| Error:array([38877.637], dtype=float32)

At B iteration 50|| Error:array([38875.87], dtype=float32)

At B iteration 51|| Error:array([38874.11], dtype=float32)

At B iteration 52|| Error:array([38872.363], dtype=float32)

At B iteration 53|| Error:array([38870.617], dtype=float32)

At B iteration 54|| Error:array([38868.887], dtype=float32)

At B iteration 55|| Error:array([38867.156], dtype=float32)

At B iteration 56|| Error:array([38865.44], dtype=float32)

At B iteration 57|| Error:array([38863.73], dtype=float32)

At B iteration 58|| Error:array([38862.027], dtype=float32)

At B iteration 59|| Error:array([38860.336], dtype=float32)

At B iteration 60|| Error:array([38858.65], dtype=float32)

At B iteration 61|| Error:array([38856.973], dtype=float32)

At B iteration 62|| Error:array([38855.3], dtype=float32)

At B iteration 63|| Error:array([38853.64], dtype=float32)

At B iteration 64|| Error:array([38851.984], dtype=float32)

At B iteration 65|| Error:array([38850.34], dtype=float32)

At B iteration 66|| Error:array([38848.703], dtype=float32)

At B iteration 67|| Error:array([38847.07], dtype=float32)

At B iteration 68|| Error:array([38845.453], dtype=float32)

At B iteration 69|| Error:array([38843.836], dtype=float32)

At B iteration 70|| Error:array([38842.23], dtype=float32)

At B iteration 71|| Error:array([38840.637], dtype=float32)

At B iteration 72|| Error:array([38839.043], dtype=float32)

At B iteration 73|| Error:array([38837.46], dtype=float32)

At B iteration 74|| Error:array([38835.887], dtype=float32)

At B iteration 75|| Error:array([38834.324], dtype=float32)

At B iteration 76|| Error:array([38832.76], dtype=float32)

At B iteration 77|| Error:array([38831.203], dtype=float32)

At B iteration 78|| Error:array([38829.66], dtype=float32)

At B iteration 79|| Error:array([38828.12], dtype=float32)

At B iteration 80|| Error:array([38826.59], dtype=float32)

At B iteration 81|| Error:array([38825.066], dtype=float32)

At B iteration 82|| Error:array([38823.55], dtype=float32)

At B iteration 83|| Error:array([38822.04], dtype=float32)

At B iteration 84|| Error:array([38820.54], dtype=float32)

At B iteration 85|| Error:array([38819.043], dtype=float32)

At B iteration 86|| Error:array([38817.555], dtype=float32)

At B iteration 87|| Error:array([38816.074], dtype=float32)

At B iteration 88|| Error:array([38814.598], dtype=float32)

At B iteration 89|| Error:array([38813.125], dtype=float32)

At B iteration 90|| Error:array([38811.668], dtype=float32)

At B iteration 91|| Error:array([38810.215], dtype=float32)

At B iteration 92|| Error:array([38808.76], dtype=float32)

At B iteration 93|| Error:array([38807.324], dtype=float32)

At B iteration 94|| Error:array([38805.887], dtype=float32)

At B iteration 95|| Error:array([38804.46], dtype=float32)

At B iteration 96|| Error:array([38803.043], dtype=float32)

At B iteration 97|| Error:array([38801.625], dtype=float32)

At B iteration 98|| Error:array([38800.223], dtype=float32)

At B iteration 99|| Error:array([38798.82], dtype=float32)

 At final B iteration || Error: array([38798.82], dtype=float32)
Optimise C and weights 

 Step W || Error: array([15224.133], dtype=float32)

Patient 0 Optimised 

Patient 1 Optimised 

Patient 2 Optimised 

Patient 3 Optimised 

Patient 4 Optimised 

Patient 5 Optimised 

Patient 6 Optimised 

Patient 7 Optimised 

Patient 8 Optimised 

Patient 9 Optimised 

Patient 10 Optimised 

Patient 11 Optimised 

Patient 12 Optimised 

Patient 13 Optimised 

Patient 14 Optimised 

Patient 15 Optimised 

Patient 16 Optimised 

Patient 17 Optimised 

Patient 18 Optimised 

Patient 19 Optimised 

Patient 20 Optimised 

Patient 21 Optimised 

Patient 22 Optimised 

Patient 23 Optimised 

Patient 24 Optimised 

Patient 25 Optimised 

Patient 26 Optimised 

Patient 27 Optimised 

Patient 28 Optimised 

Patient 29 Optimised 

Patient 30 Optimised 

Patient 31 Optimised 

Patient 32 Optimised 

Patient 33 Optimised 

Patient 34 Optimised 

Patient 35 Optimised 

Patient 36 Optimised 

Patient 37 Optimised 

Patient 38 Optimised 

Patient 39 Optimised 

Patient 40 Optimised 

Patient 41 Optimised 

Patient 42 Optimised 

Patient 43 Optimised 

Patient 44 Optimised 

Patient 45 Optimised 

Patient 46 Optimised 

Patient 47 Optimised 

Patient 48 Optimised 

Patient 49 Optimised 

Patient 50 Optimised 

Patient 51 Optimised 

Patient 52 Optimised 

Patient 53 Optimised 

Patient 54 Optimised 

Patient 55 Optimised 

Patient 56 Optimised 

Patient 57 Optimised 

 Step C || Error: array([19667.748], dtype=float32)

 Step D and lambda || Error: array([18133.85], dtype=float32)

 At iteration1|| Error:array([18133.85], dtype=float32)

Optimise B 

At B iteration 0|| Error:array([18132.27], dtype=float32)

At B iteration 1|| Error:array([18130.709], dtype=float32)

At B iteration 2|| Error:array([18129.17], dtype=float32)

At B iteration 3|| Error:array([18127.643], dtype=float32)

At B iteration 4|| Error:array([18126.139], dtype=float32)

At B iteration 5|| Error:array([18124.65], dtype=float32)

At B iteration 6|| Error:array([18123.178], dtype=float32)

At B iteration 7|| Error:array([18121.72], dtype=float32)

At B iteration 8|| Error:array([18120.287], dtype=float32)

At B iteration 9|| Error:array([18118.861], dtype=float32)

At B iteration 10|| Error:array([18117.459], dtype=float32)

At B iteration 11|| Error:array([18116.068], dtype=float32)

At B iteration 12|| Error:array([18114.693], dtype=float32)

At B iteration 13|| Error:array([18113.338], dtype=float32)

At B iteration 14|| Error:array([18111.994], dtype=float32)

At B iteration 15|| Error:array([18110.666], dtype=float32)

At B iteration 16|| Error:array([18109.354], dtype=float32)

At B iteration 17|| Error:array([18108.057], dtype=float32)

At B iteration 18|| Error:array([18106.775], dtype=float32)

At B iteration 19|| Error:array([18105.506], dtype=float32)

At B iteration 20|| Error:array([18104.25], dtype=float32)

At B iteration 21|| Error:array([18103.014], dtype=float32)

At B iteration 22|| Error:array([18101.785], dtype=float32)

At B iteration 23|| Error:array([18100.572], dtype=float32)

At B iteration 24|| Error:array([18099.373], dtype=float32)

At B iteration 25|| Error:array([18098.19], dtype=float32)

At B iteration 26|| Error:array([18097.018], dtype=float32)

At B iteration 27|| Error:array([18095.86], dtype=float32)

At B iteration 28|| Error:array([18094.713], dtype=float32)

At B iteration 29|| Error:array([18093.58], dtype=float32)

At B iteration 30|| Error:array([18092.463], dtype=float32)

At B iteration 31|| Error:array([18091.354], dtype=float32)

At B iteration 32|| Error:array([18090.26], dtype=float32)

At B iteration 33|| Error:array([18089.174], dtype=float32)

